italian,english
fiammifero,match
cuccia,doghouse
lettiera,litter box
guinzaglio,leash
osso,bone
giocattolo,toy
ciuccio,pacifier
biberon,baby bottle
carrozzina,stroller
seggiolino auto,car seat
palestrina,crib
lettino,cot
fasciatoio,changing table
bavaglino,bib
scalda biberon,bottle warmer
piumino,duvet
federa,pillowcase
copriletto,bedspread
lampadina,lightbulb
abat-jour,lamp shade
interruttore,switch
presa,outlet
cavo,cable
telefono,telephone
lavandino,sink
zuppiera,tureen
spremiaglio,garlic press
ramazza,dustpan brush
vaporizzatore,spray bottle
riccio,curler
pinzette,tweezers
lima,file
arricciacapelli,curling iron
spazzola per capelli,hairbrush
parannanze,curler
elastico,hair tie
fermacapelli,hair clip
cerchietto,headband
mascara,mascara
rossetto,lipstick
lucidalabbra,lip gloss
ombretti,eyeshadow
matita per occhi,eyeliner
profumo,perfume
crema,cream
balsamo,balm
trucco,makeup
portacandele,candlestick
tavolino,side table
tappeto,rug
quadro,painting
cornice,frame
soprammobile,knickknack
pianta,plant
gara,race
stadio,stadium
guerra,war
pace,peace
squadra,team
segnale,sign
garage,garage
stazione di servizio,gas station
benzinaio,gas station attendant
carburante,fuel
pedaggio,toll
autostrada,highway
cavalcavia,overpass
rotonda,roundabout
svincolo,exit
galleria,tunnel
ponte,bridge
imbottigliamento,traffic jam
guida,driving
volante,steering wheel
freno,brake
acceleratore,accelerator
specchietto,mirror
finestrino,window
tergicristallo,windshield wiper
tergicristalli,windshield wipers
paraurti,bumper
cerchio,wheel
pneumatico,tire
ruota di scorta,spare tire
cambio,gear
serbatoio,fuel tank
tappo del serbatoio,fuel cap
marmitta,muffler
cintura di sicurezza,seatbelt
airbag,airbag
clacson,horn
faro,headlight
freccia,turn signal
retrovisore,rearview mirror
tergifari,headlight wiper
motorino,scooter
pesi,weights
medaglia,medal
coppa,trophy
podio,podium
vittoria,victory
campo,field
rete,net
palla da tennis,tennis ball
boccetta,bowling ball
portiere,goalkeeper
arbitro,referee
rigore,penalty
cartellino giallo,yellow card
cartellino rosso,red card
espulsione,sending off
fuorigioco,offside
hockey,hockey
punteggio,score
gol,goal
giocatore,player
allenatore,coach
tifoso,fan
bandiera,flag
cronometro,stopwatch
infortunio,injury
dottore,doctor
ospedale,hospital
ambulanza,ambulance
cerotto,band-aid
termometro,thermometer
pillola,pill
siringa,syringe
vaccino,vaccine
radiografia,x-ray
stampelle,crutches
sedia a rotelle,wheelchair
lenti a contatto,contact lenses
filo interdentale,floss
collutorio,mouthwash
spazzolino,brush
amico,friend
animale,animal
anno,year
bagno,bathroom
bambina,girl
bambino,boy
bere,to drink
biblioteca,library
braccio,arm
caramella,candy
castello,castle
cavallo,horse
chiesa,church
cioccolata,chocolate
città,city
cucina,kitchen
cugino,cousin
denti,teeth
donna,woman
due,two
erba,grass
estate,summer
euro,euro
faccia,face
fare,to do/make
festa,party
fidanzato,boyfriend
fratello,brother
freddo,cold
frutta,fruit
gamba,leg
gelato,ice cream
giocare,to play
gioco,game/toy
giorno,day
maglia,sweater
mamma,mom
mangiare,to eat
mattina,morning
melone,melon
naso,nose
notte,night
nove,nine
occhio,eye
oggi,today
ora,hour
orecchio,ear
papà,dad
parlare,to speak
piangere,to cry
piccolo,small
pizza,pizza
prato,meadow
quattro,four
ragazza,girl
ragazzo,boy
regina,queen
respiro,breath
ridere,to laugh
riso,rice
rosso,red
salire,to go up/climb
scarpa,shoe
scrivere,to write
scuola,school
sedici,sixteen
sei,six
sette,seven
sorriso,smile
strada,street
studente,student
studiare,to study
tavola,table
testa,head
tre,three
undici,eleven
uno,one
uomo,man
abbigliamento,clothing
acconciatura,hairstyle
affitto,rent
albergo,hotel
andata,departure
appetito,appetite
appuntamento,appointment
artista,artist
ascensore,elevator
asilo,nursery school
assicurazione,insurance
azienda,company
bagaglio,luggage
balcone,balcony
banca,bank
bancomat,ATM
bar,bar
barista,bartender
batteria,battery
benzinaio,gas station
biliardo,billiards
borsa di studio,scholarship
bosco,forest
bravura,skill
bugia,lie
calore,heat
calura,heat
cameriera,waitress
cameriere,waiter
campagna,countryside
canale,channel
cancello,gate
cantina,cellar
capolavoro,masterpiece
carabinieri,police
carriera,career
cartolina,postcard
casetta,cottage
catalogo,catalog
cattedrale,cathedral
cattivo,bad
cauzione,deposit
cena,dinner
centro commerciale,shopping mall
cerimonia,ceremony
champagne,champagne
cioccolatino,chocolate
collezione,collection
colore,color
colpa,fault
commedia,comedy
comunicazione,communication
concerto,concert
congedo,leave
consolazione,consolation
consulenza,advice
coppia,couple
coraggioso,brave
corridoio,hallway
corrispondenza,correspondence
cortesia,courtesy
cortile,courtyard
costo,cost
cottura,cooking
credito,credit
cultura,culture
debito,debt
decorazione,decoration
denaro,money
dentista,dentist
deposito,deposit
deserto,desert
desiderio,desire
devozione,devotion
diritto,right
distrazione,distraction
dolore,pain
domestico,domestic
domicilio,home
donazione,donation
dubbio,doubt
edificio,building
emozione,emotion
entrata,entrance
eroe,hero
errore,mistake
esempio,example
esperienza,experience
espressione,expression
fallimento,failure
famiglia,family
fan,fan
fango,mud
fatica,fatigue
felicità,happiness
felpa,sweatshirt
figura,figure
fila,line
fioraio,florist
fischio,whistle
fisico,physical
foresta,forest
fortuna,luck
francobollo,stamp
freccia,arrow
frontiera,border
funzione,function
furto,theft
galassia,galaxy
genio,genius
gesto,gesture
ginocchio,knee
gioia,joy
giostra,merry-go-round
gita,trip
guadagno,profit
guaio,trouble
guancia,cheek
guanto,glove
guardia,guard
gusto,taste
spazio,space
universo,universe
pianeta,planet
cometa,comet
astronave,spacecraft
astronauta,astronaut
razzi,rockets
satellite,satellite
telescopio,telescope
orbita,orbit
gravità,gravity
vuoto,vacuum
meteora,meteor
stazione spaziale,space station
sonda,probe
lancio,launch
atmosfera,atmosphere
buco nero,black hole
planet,pianeta
lavatrice,washing machine
asciugatrice,dryer
The Beatles,The Beatles
Vasco Rossi,Vasco Rossi
